City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tazacorte,28.629,-17.9293,24.54,80,20,3.58,ES,1686488376
83,siwa oasis,29.2041,25.5195,36.37,17,5,5.25,EG,1686488377
84,fale old settlement,-9.3852,-171.2468,28.74,76,87,6.22,TK,1686488377
85,nadi,-17.8,177.4167,23.0,68,75,4.12,FJ,1686488377
86,ponoka,52.6768,-113.5815,15.49,92,57,4.5,CA,1686488135
87,kapuskasing,49.4169,-82.4331,6.0,75,75,4.12,CA,1686488377
88,kavaratti,10.5669,72.642,29.5,77,100,9.69,IN,1686488377
89,kapa'a,22.0752,-159.319,24.18,87,75,5.66,US,1686488377
90,selfoss,63.9331,-20.9971,12.25,68,88,5.99,IS,1686488377
91,gunjur,13.2019,-16.7339,33.04,62,40,5.66,GM,1686488378
92,villanueva,15.3167,-88.0,28.91,83,20,0.0,HN,1686488349
93,jiangzi,28.95,89.6333,14.32,30,46,5.55,CN,1686488378
94,wailua homesteads,22.0669,-159.378,23.44,89,75,5.66,US,1686488378
95,chernyshevskiy,63.0128,112.4714,7.81,53,100,4.97,RU,1686488378
96,dudinka,69.4058,86.1778,13.68,30,28,7.06,RU,1686488333
97,qaqortoq,60.7167,-46.0333,5.75,67,7,1.9,GL,1686488378
98,el nido,11.1858,119.3956,28.48,79,100,4.88,PH,1686488378
99,djambala,-2.5447,14.7533,27.59,60,88,1.24,CG,1686488379
100,el porvenir,13.7617,-87.3458,23.63,90,99,0.85,HN,1686488379
101,utrik,11.2278,169.8474,27.57,82,85,8.72,MH,1686488379
102,klyuchi,52.2667,79.1667,21.23,38,0,4.78,RU,1686488379
103,villa vasquez,19.7411,-71.4464,28.49,71,53,3.0,DO,1686488379
104,tolanaro,-25.0319,46.9987,25.04,69,20,5.14,MG,1686488379
105,manta,-0.95,-80.7333,26.67,89,40,7.6,EC,1686488379
106,codrington,-38.2667,141.9667,9.02,75,5,4.6,AU,1686488379
107,nagqu,31.5,92.0,7.31,59,60,6.72,CN,1686488380
108,weining,26.85,104.2333,11.31,84,100,1.4,CN,1686488380
109,lebu,-37.6167,-73.65,7.32,72,23,7.23,CL,1686488380
110,qui nhon,13.7667,109.2333,30.08,66,100,4.89,VN,1686488380
111,sisimiut,66.9395,-53.6735,3.47,92,100,3.7,GL,1686488380
112,ak-suu,42.4995,78.527,21.83,60,41,2.49,KG,1686488380
113,yamada,39.4667,141.95,17.8,88,100,1.94,JP,1686488380
114,luang prabang,19.8856,102.1347,29.98,66,100,1.03,LA,1686488380
115,avarua,-21.2078,-159.775,20.03,100,0,0.51,CK,1686488359
116,kingston,17.997,-76.7936,29.0,94,40,1.03,JM,1686488088
117,diffa,13.3154,12.6113,34.65,37,98,2.0,NE,1686488381
118,augusto correa,-1.0217,-46.635,29.18,68,3,2.93,BR,1686488381
119,sechura,-5.5569,-80.8222,23.56,75,100,5.18,PE,1686488381
120,ribeira grande,38.5167,-28.7,20.22,73,20,4.12,PT,1686488381
121,jinxiang,27.4327,120.6062,24.59,89,24,3.2,CN,1686488381
122,gouyave,12.1646,-61.7296,28.43,79,20,5.66,GD,1686488381
123,as samawah,31.332,45.2944,43.29,12,0,3.66,IQ,1686488381
124,ampanihy,-24.7,44.75,23.55,59,93,4.72,MG,1686488382
125,matoury,4.8483,-52.3317,28.98,79,20,1.54,GF,1686488144
126,east london,-33.0153,27.9116,24.52,41,0,3.09,ZA,1686488382
127,deneysville,-26.8908,28.0971,19.35,9,0,5.44,ZA,1686488382
128,malango,-2.9627,119.9001,20.12,99,100,0.52,ID,1686488382
129,hithadhoo,-0.6,73.0833,28.77,72,42,3.1,MV,1686488382
130,ponta delgada,37.7333,-25.6667,19.4,72,20,7.2,PT,1686488296
131,bata,1.8639,9.7658,24.65,87,100,3.03,GQ,1686488382
132,ancud,-41.8697,-73.8203,5.65,80,100,2.79,CL,1686488383
133,gizo,-8.103,156.8419,27.71,78,97,2.07,SB,1686488383
134,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,66,0,2.0,RU,1686488383
135,whitehorse,60.7161,-135.0538,5.43,65,20,2.06,CA,1686488130
136,posto fiscal rolim de moura,-13.0833,-62.2667,28.29,61,3,0.32,BR,1686488383
137,vung tau,10.346,107.0843,29.08,73,49,6.43,VN,1686488383
138,tejen,37.3834,60.5054,37.29,10,0,4.81,TM,1686488383
